CMCSA,CMCSK
40.4,38.37
41.22,39.06
41.72,39.42
41.47,39.16
41.75,39.38
41.98,39.61
41.38,39.17
42.3,39.88
41.82,39.5
42.12,39.76
41.56,39.33
41.63,39.35
41.28,39.02
41.62,39.36
41.81,39.78
42,39.99
41.15,39.26
41.41,39.55
40.62,38.85
39.99,38.35
40.56,38.82
40.47,38.76
40.9,38.99
40.67,38.91
40.75,38.7
41.37,39.26
41.49,39.36
41.3,39.29
41.86,39.78
42.11,40.08
42.54,40.48
42.78,40.82
43.05,41.12
43.28,41.4
42.96,41.16
43.08,41.33
43.19,41.28
43.33,41.53
43.73,41.82
42.87,41.18
42.64,41.03
41.52,39.86
42.23,40.45
41.78,40.18
41.82,39.97
41.95,40.08
41.82,39.86
40.79,39.32
40.95,39.44
40.17,38.83
40.46,38.98
40.92,39.23
40.19,38.72
40.24,38.84
41.18,39.6
40.67,39.39
40.16,38.94
39.52,38.11
39.75,38.22
39.74,38.34
40.08,38.52
40.39,38.78
40.21,38.54
38.91,37.49
39.77,38.11
39.78,38.11
40.17,38.43
40.19,38.51
40.3,38.57
41.75,39.67
40.66,38.95
40.75,38.86
41.15,39.47
41.7,39.9
42.41,40.59
42.67,40.79
42.91,41.17
44.46,42.45
44.68,42.72
44.15,42.39
43.99,42.13
43.87,42.12
44.34,42.6
44.57,42.79
44.93,42.97
45.14,43.1
44.96,42.92
44.17,42.17
43.73,41.91
43.4,41.48
42.71,40.79
45.08,43.1
